TN	FN	FP	TP	classifierType	subject	subjectProtocol	protocol	assay	assayType	assayNum	imagingPlane	trainingState	trainingSubject	testSubject	signalExtractionMethod
0	0	83	198	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	shuffle	m0	m0	EXTRACT
0	0	83	198	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	shuffle	m0	m0	EXTRACT
0	0	83	198	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	shuffle	m0	m0	EXTRACT
0	0	179	255	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	179	255	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	130	382	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	39	141	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
0	0	83	198	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_cell	m0	m0	EXTRACT
179	255	0	0	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
179	255	0	0	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
130	382	0	0	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
39	141	0	0	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
83	198	0	0	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	all_nonCell	m0	m0	EXTRACT
88	130	91	125	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
88	130	91	125	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
70	194	60	188	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
17	68	22	73	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	svm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	nnet	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	glm	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	naiveBayes	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	svm_nnet_glm_naiveBayes_decisionTree	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
34	112	49	86	consensus_model	m0	m0_p000	p000	NULL000	NULL	0	plane0	random	m0	m0	EXTRACT
